Country,edu_level,year,sum
Korea,Bachelor or equivalent level,2014,0
Korea,Bachelor or equivalent level,2015,0
Korea,Bachelor or equivalent level,2016,6758
Korea,Bachelor or equivalent level,2017,7086
Korea,Bachelor or equivalent level,2018,7805
Korea,Bachelor or equivalent level,2019,9338
Korea,Bachelor or equivalent level,2020,11140
Korea,Bachelor or equivalent level,2021,11593
Korea,Master or equivalent level,2013,0
Korea,Master or equivalent level,2014,0
Korea,Master or equivalent level,2015,0
Korea,Master or equivalent level,2016,6544
Korea,Master or equivalent level,2017,7070
Korea,Master or equivalent level,2018,7609
Korea,Master or equivalent level,2019,8614
Korea,Master or equivalent level,2020,9700
Korea,Master or equivalent level,2021,9458
Korea,Doctoral or equivalent level,2013,0
Korea,Doctoral or equivalent level,2014,0
Korea,Doctoral or equivalent level,2015,0
Korea,Doctoral or equivalent level,2016,1302
Korea,Doctoral or equivalent level,2017,1485
Korea,Doctoral or equivalent level,2018,1641
Korea,Doctoral or equivalent level,2019,1923
Korea,Doctoral or equivalent level,2020,2221
Korea,Doctoral or equivalent level,2021,2645
Luxembourg,Short-cycle tertiary education,2013,23
Luxembourg,Short-cycle tertiary education,2014,39
Luxembourg,Short-cycle tertiary education,2015,14
Luxembourg,Short-cycle tertiary education,2016,33
Luxembourg,Short-cycle tertiary education,2017,71
Luxembourg,Short-cycle tertiary education,2018,68
Luxembourg,Short-cycle tertiary education,2019,68
Luxembourg,Short-cycle tertiary education,2020,55
Luxembourg,Short-cycle tertiary education,2021,106
Luxembourg,Bachelor or equivalent level,2013,127
Luxembourg,Bachelor or equivalent level,2014,143
Luxembourg,Bachelor or equivalent level,2015,129
Luxembourg,Bachelor or equivalent level,2016,226
Luxembourg,Bachelor or equivalent level,2017,153
Luxembourg,Bachelor or equivalent level,2018,128
Luxembourg,Bachelor or equivalent level,2019,140
Luxembourg,Bachelor or equivalent level,2020,154
Luxembourg,Bachelor or equivalent level,2021,148
Luxembourg,Master or equivalent level,2013,450
Luxembourg,Master or equivalent level,2014,437
Luxembourg,Master or equivalent level,2015,463
Luxembourg,Master or equivalent level,2016,488
Luxembourg,Master or equivalent level,2017,511
Luxembourg,Master or equivalent level,2018,533
Luxembourg,Master or equivalent level,2019,565
Luxembourg,Master or equivalent level,2020,553
